Timestamp,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInDiscards_enp0s9,ifInNUcastPkts_enp0s9,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifoutDiscards_enp0s9,ifOutNUcastPkts_enp0s9,ifOutOctets_ens0p9,ifOutUcastPkts_enp0s9
2026-01-05 14:06:57,0,0,0,0,0,0,0,0,169,0,40,250,0,0,263,0,265,0,20,304,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:02,0,0,0,0,0,0,0,0,211,0,40,250,0,0,305,0,341,0,20,338,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:07,0,0,0,0,0,0,0,0,279,0,40,318,0,0,370,0,372,0,20,369,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:12,0,0,0,0,0,0,0,0,279,0,40,318,0,0,370,0,372,0,20,409,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:17,0,0,0,0,0,0,0,0,348,0,40,387,0,0,410,0,412,0,20,409,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:22,0,0,0,0,0,0,0,0,383,0,40,422,0,0,474,0,476,0,20,473,40,7,47,40,7,47,0,0,0,0,0,0,866,11
2026-01-05 14:07:27,0,0,0,0,0,0,0,0,418,0,40,457,0,0,514,0,516,0,20,513,40,10,50,40,10,50,0,0,0,0,0,0,866,11
2026-01-05 14:07:32,0,0,0,0,0,0,0,0,418,0,40,495,0,0,514,0,516,0,20,553,40,10,50,40,10,50,0,0,0,0,0,0,866,11
2026-01-05 14:07:37,0,0,0,0,0,0,0,0,489,0,40,528,0,0,554,0,556,0,20,553,40,10,50,40,10,50,0,0,0,0,0,0,866,11
2026-01-05 14:07:42,0,0,0,0,0,0,0,0,529,0,40,568,0,0,600,0,602,0,20,599,40,10,50,40,10,50,0,0,0,0,0,0,866,11
2026-01-05 14:07:47,0,0,0,0,0,0,0,0,569,0,40,608,0,0,663,0,665,0,20,662,40,10,50,40,10,50,0,0,0,0,0,0,866,11
2026-03-22 13:48:49,17,0,1,1010,15,621,0,41,2523,0,40,2644,0,0,3728,0,3731,4,20,3435,119,40,159,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:48:54,17,0,1,1010,15,621,0,41,2562,0,40,2683,0,0,3769,0,3772,4,20,3476,119,40,159,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:48:59,17,0,1,1010,15,621,0,41,2601,0,40,2722,0,0,3808,0,3811,4,20,3515,121,40,161,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:49:04,17,0,1,1010,15,621,0,41,2635,0,40,2758,0,0,3844,0,3847,4,20,3551,121,40,161,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:49:09,17,0,1,1010,15,621,0,41,2635,0,40,2795,0,0,3844,0,3885,4,20,3589,121,40,161,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:49:14,17,0,1,1010,15,621,0,41,2672,0,40,2831,0,0,3882,0,3885,4,20,3624,121,40,161,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:49:20,17,0,1,1010,15,621,0,41,2708,0,40,2831,0,0,3917,0,3920,4,20,3624,121,40,161,100,40,140,0,0,0,0,0,0,1956,26
2026-03-22 13:49:25,17,0,1,1010,15,621,0,41,2774,0,40,2897,0,0,3979,0,3982,4,20,3686,121,42,163,100,42,142,0,0,0,0,0,0,1956,26
2026-03-22 13:49:30,17,0,1,1010,15,621,0,41,2810,0,40,2933,0,0,4021,0,4024,4,20,3728,121,43,164,100,43,143,0,0,0,0,0,0,1956,26
2026-03-22 13:49:35,17,0,1,1010,15,621,0,41,2846,0,40,2969,0,0,4056,0,4059,4,20,3763,121,43,164,100,43,143,0,0,0,0,0,0,1956,26
2026-03-22 13:49:40,17,0,1,1010,15,621,0,41,2886,0,40,3009,0,0,4096,0,4099,4,20,3803,121,43,164,100,43,143,0,0,0,0,0,0,1956,26
2026-03-22 13:49:45,17,0,1,1010,15,621,0,41,2886,0,40,3009,0,0,4135,0,4138,4,20,3842,121,43,164,100,43,143,0,0,0,0,0,0,1956,26
2026-03-22 14:34:39,17,0,1,1010,15,621,0,41,3917,0,40,4043,86,0,5241,0,5330,4,20,4949,123,155,278,100,155,255,0,0,6008,55,0,0,34675,92
2026-03-22 14:34:54,17,0,1,1010,15,621,0,41,3951,0,40,4077,86,0,5275,0,5364,4,20,4983,123,155,278,100,155,255,0,0,6008,55,0,0,34675,92
2026-03-22 14:35:09,17,0,1,1010,15,621,0,41,3985,0,40,4111,86,0,5309,0,5398,4,20,5017,123,155,278,100,155,255,0,0,6008,55,0,0,34675,92
2026-03-22 14:35:24,17,0,1,1010,15,621,0,41,4019,0,40,4145,86,0,5343,0,5432,4,20,5051,123,155,278,100,155,255,0,0,6008,55,0,0,34675,92
2026-03-22 14:35:39,17,0,1,1010,15,621,0,41,4053,0,40,4179,88,0,5377,0,5468,4,20,5087,123,155,278,102,155,257,0,0,6204,57,0,0,34927,94
2026-03-22 14:35:54,17,0,1,1010,15,621,0,41,4087,0,40,4213,88,0,5411,0,5502,4,20,5121,123,155,278,102,155,257,0,0,6324,59,0,0,35047,96
2026-03-22 14:36:09,17,0,1,1010,15,621,0,41,4121,0,40,4247,88,0,5445,0,5536,4,20,5155,123,155,278,102,155,257,0,0,6324,59,0,0,35047,96
2026-03-22 14:36:24,17,0,1,1010,15,621,0,41,4155,0,40,4281,104,0,5479,0,5586,4,20,5189,123,155,278,102,155,257,0,0,7424,71,0,0,36147,108
2026-03-22 14:36:39,17,0,1,1010,15,621,0,41,4189,0,40,4315,136,0,5513,0,5652,4,20,5223,123,155,278,102,155,257,0,0,8894,86,0,0,37617,123
2026-03-22 14:36:54,17,0,1,1010,15,621,0,41,4223,0,40,4349,166,0,5547,0,5716,4,20,5257,123,155,278,102,155,257,0,0,10364,101,0,0,39087,138
2026-03-22 14:37:09,17,0,1,1010,15,621,0,41,4257,0,40,4383,194,0,5581,0,5778,4,20,5291,123,155,278,102,155,257,0,0,11856,117,0,0,40579,154
2026-03-22 14:37:24,17,0,1,1010,15,621,0,41,4291,0,40,4417,224,0,5615,0,5842,4,20,5325,123,155,278,102,155,257,0,0,13424,133,0,0,42147,170
2026-03-22 14:37:39,17,0,1,1010,15,621,0,41,4325,0,40,4451,250,0,5649,0,5902,4,20,5359,123,155,278,102,155,257,0,0,14758,147,0,0,43481,184
2026-03-22 14:37:54,17,0,1,1010,15,621,0,41,4359,0,40,4485,278,0,5683,0,5964,4,20,5393,123,155,278,102,155,257,0,0,15994,160,0,0,44717,197
